epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,137.25741577148438,,,,,
0,99,,160.45736694335938,,,,,
0,149,,142.7316131591797,,,,,
0,160,,,372.3705749511719,54356980.0,912.0252075195312,0.6417105793952942,206.29681396484375
0,160,147.0623016357422,,,,,,
1,199,,116.27326965332031,,,,,
1,249,,120.4466323852539,,,,,
1,299,,113.80325317382812,,,,,
1,321,,,380.7103271484375,54640996.0,933.2259521484375,0.6534134745597839,211.39993286132812
1,321,123.31611633300781,,,,,,
2,349,,82.41706848144531,,,,,
2,399,,111.51936340332031,,,,,
2,449,,89.248046875,,,,,
2,482,,,295.7127380371094,39109912.0,756.3505249023438,0.6152153611183167,167.93838500976562
2,482,113.88347625732422,,,,,,
3,499,,120.0550765991211,,,,,
3,549,,101.30176544189453,,,,,
3,599,,101.08000946044922,,,,,
3,643,,,278.72161865234375,38122580.0,693.9942626953125,0.5940565466880798,160.26283264160156
3,643,109.07733917236328,,,,,,
4,649,,60.321807861328125,,,,,
4,699,,134.13211059570312,,,,,
4,749,,87.89700317382812,,,,,
4,799,,115.9625015258789,,,,,
4,804,,,292.5250244140625,40535136.0,735.37939453125,0.5930918455123901,173.0860137939453
4,804,107.18252563476562,,,,,,
5,849,,98.12154388427734,,,,,
5,899,,122.4377670288086,,,,,
5,949,,129.30426025390625,,,,,
5,965,,,287.7691345214844,40882020.0,712.3667602539062,0.6050575375556946,167.7454376220703
5,965,106.39551544189453,,,,,,
6,999,,87.36253356933594,,,,,
6,1049,,117.8367919921875,,,,,
6,1099,,92.34395599365234,,,,,
6,1126,,,304.04266357421875,48734620.0,745.9314575195312,0.6132587790489197,179.0222625732422
6,1126,106.42164611816406,,,,,,
7,1149,,98.94937133789062,,,,,
7,1199,,101.90655517578125,,,,,
7,1249,,89.5389175415039,,,,,
7,1287,,,277.2627868652344,38109940.0,683.2789916992188,0.6040100455284119,157.49342346191406
7,1287,104.81163787841797,,,,,,
8,1299,,132.67919921875,,,,,
8,1349,,94.96759796142578,,,,,
8,1399,,100.18218994140625,,,,,
8,1448,,,276.11322021484375,46036960.0,679.6266479492188,0.5962454080581665,158.132568359375
8,1448,105.0666275024414,,,,,,
9,1449,,107.1358413696289,,,,,
9,1499,,95.53180694580078,,,,,
9,1549,,71.22578430175781,,,,,
9,1599,,106.20864868164062,,,,,
9,1609,,,267.35736083984375,40308040.0,663.4144897460938,0.5858189463615417,155.34396362304688
9,1609,103.25515747070312,,,,,,
10,1649,,110.31730651855469,,,,,
10,1699,,99.0665054321289,,,,,
10,1749,,108.10895538330078,,,,,
10,1770,,,274.84454345703125,38890224.0,669.9317626953125,0.6018664240837097,159.68289184570312
10,1770,104.29669189453125,,,,,,
11,1799,,103.26222229003906,,,,,
11,1849,,137.56385803222656,,,,,
11,1899,,103.68875122070312,,,,,
11,1931,,,312.6376953125,46654088.0,800.742431640625,0.5995041728019714,179.79908752441406
11,1931,107.16136932373047,,,,,,
12,1949,,102.00682067871094,,,,,
12,1999,,138.59127807617188,,,,,
12,2049,,107.05239868164062,,,,,
12,2092,,,292.7901916503906,39575128.0,745.1573486328125,0.5845807194709778,168.19676208496094
12,2092,110.54319763183594,,,,,,
13,2099,,120.8740234375,,,,,
13,2149,,100.1456069946289,,,,,
13,2199,,125.7557144165039,,,,,
13,2249,,91.92070770263672,,,,,
13,2253,,,291.113037109375,43676744.0,727.0506591796875,0.5934632420539856,169.66929626464844
13,2253,111.9078369140625,,,,,,
14,2299,,140.55526733398438,,,,,
14,2349,,99.59136962890625,,,,,
14,2399,,89.4215087890625,,,,,
14,2414,,,308.470703125,38641920.0,782.8190307617188,0.595967173576355,173.21951293945312
14,2414,112.20423889160156,,,,,,
15,2449,,114.92989349365234,,,,,
15,2499,,118.93114471435547,,,,,
15,2549,,128.5672149658203,,,,,
15,2575,,,299.9710998535156,45105060.0,763.3130493164062,0.5851841568946838,178.35400390625
15,2575,109.1014175415039,,,,,,
16,2599,,108.62676239013672,,,,,
16,2649,,128.6459197998047,,,,,
16,2699,,108.71772003173828,,,,,
16,2736,,,294.37060546875,43006160.0,729.1144409179688,0.6046783328056335,167.8325958251953
16,2736,110.5413589477539,,,,,,
17,2749,,107.13574981689453,,,,,
17,2799,,99.09922790527344,,,,,
17,2849,,122.97854614257812,,,,,
17,2897,,,294.7886657714844,36571032.0,744.9046630859375,0.5945258140563965,167.1538543701172
17,2897,107.89960479736328,,,,,,
18,2899,,97.81362915039062,,,,,
18,2949,,98.28921508789062,,,,,
18,2999,,109.16136932373047,,,,,
18,3049,,98.10724639892578,,,,,
18,3058,,,297.30206298828125,34101760.0,749.3556518554688,0.5981259942054749,177.26129150390625
18,3058,107.4202651977539,,,,,,
